ID,Calories Burn, Weight,Age,Gender,Duration,Heart Rate,BMI,Height
1,286.9598505,96.30111546,45,Male,37,170,29.42627467,180.9039362
2,343.4530361,61.1046681,25,Male,43,142,21.28634599,169.4285665
3,261.2234649,71.76672384,20,Male,20,148,27.8995916,160.3845897
4,127.1838584,82.98445557,33,Male,39,170,33.72955245,156.8530924
5,416.3183735,85.64317443,29,Female,34,118,23.28611341,191.7775977
6,479.7226901,80.59659152,60,Female,41,169,34.71933604,152.3605852
7,457.6313614,61.81538551,18,Male,53,103,34.59464132,133.6730554
8,272.9569819,62.80648911,42,Male,25,104,22.05010343,168.7706578
9,195.0322726,54.53768847,49,Male,37,161,30.94884687,132.7474317
10,259.5311447,97.43683277,41,Male,55,103,31.22404465,176.6513658
11,248.5361176,54.14440184,41,Male,52,151,34.01756731,126.161009
12,376.5526493,97.36896072,35,Female,28,158,34.56511678,167.83837
13,311.1060239,84.42865874,54,Female,48,173,34.52263692,156.3842331
14,497.549588,60.02686967,41,Male,43,121,28.9313826,144.0417051
15,451.8532602,61.25935824,19,Male,59,174,26.34012389,152.5026234
16,325.056217,86.46496723,54,Male,42,105,28.9570926,172.7995524
17,216.8663933,88.31452671,38,Female,46,119,33.67888188,161.9337005
18,377.1229305,84.14403879,42,Male,26,126,23.89336292,187.6605725
19,457.6203214,70.75616296,40,Female,23,129,33.2386129,145.9018138
20,103.3354905,84.43614261,49,Male,59,149,20.44761953,203.2089419
21,335.1512709,80.99303296,38,Male,55,114,24.8895933,180.391027
22,131.4575318,52.29681481,29,Male,37,135,20.54155838,159.5588602
23,187.2145211,69.65255976,54,Female,26,117,30.59981568,150.8721695
24,129.0192376,54.69985051,30,Male,26,145,33.35999724,128.0501427
25,293.464795,59.86013459,45,Female,36,135,18.74376699,178.7065234
26,344.1352887,72.0983609,24,Male,57,159,31.57504828,151.1091227
27,297.6813903,81.68863135,56,Male,39,133,20.0330802,201.9328362
28,126.4961165,98.57062426,54,Male,33,118,18.94809579,228.0819765
29,279.7251573,78.70795184,21,Male,21,164,21.339318,192.0520901
30,214.2193561,49.31561328,55,Female,48,155,29.23556137,129.8782716
31,115.3368677,86.24767046,47,Male,26,154,22.17566114,197.2129359
32,444.6904555,86.45526301,24,Male,37,168,24.37234879,188.3419341
33,261.0427782,90.68068215,57,Female,47,111,30.42326681,172.6451832
34,343.2067297,77.83226162,30,Female,31,170,24.94641272,176.6345977
35,483.4970362,78.03340967,52,Female,49,121,26.27883251,172.3206239
36,364.4688538,95.66982226,20,Male,43,103,24.83308985,196.2782167
37,353.2051257,54.53063568,37,Male,51,155,34.36954017,125.9602226
38,182.3335938,96.08917838,47,Female,25,106,28.17738168,184.6659917
39,316.0366931,79.82720402,28,Female,31,157,21.77174362,191.4823961
40,280.5911131,99.0966335,57,Female,27,150,32.25019059,175.292489
41,240.9247871,100.8967673,41,Female,53,162,27.39231586,191.9217745
42,455.6056505,85.40862776,19,Male,60,153,22.21856755,196.0617361
43,119.4725546,51.17641475,32,Female,37,168,19.43018046,162.2917755
44,121.0886855,58.06911618,55,Male,36,159,31.76605422,135.2044456
45,207.9759501,70.58058256,39,Female,59,177,30.65263465,151.7430171
46,355.6478253,76.65819193,32,Female,28,126,23.04409145,182.3893564
47,176.4886037,75.47957349,58,Male,36,151,26.22608119,169.6477164
48,453.4353571,66.54716531,40,Male,52,158,20.05025199,182.1817472
49,120.0669036,82.55090155,48,Female,34,174,25.8040189,178.8616508
50,379.3709879,88.76687023,36,Male,54,137,29.99401277,172.0315759
51,244.9790358,77.79195722,35,Male,21,129,20.10679707,196.6961692
52,447.7851241,56.59718028,28,Male,39,124,24.51337316,151.9483048
53,117.819875,70.505351,37,Male,32,146,19.00649414,192.6016625
54,217.7570965,81.53358944,25,Female,50,136,33.61687435,155.7362151
55,371.1216261,81.76218279,51,Male,52,146,34.29477546,154.4053189
56,441.770923,72.56739655,28,Female,20,108,21.1134036,185.3922804
57,277.7292176,90.70424116,27,Female,53,103,29.92696454,174.0934624
58,168.6552217,92.2778923,52,Male,38,136,20.23433582,213.5523507
59,126.6017619,75.98180486,49,Female,26,112,22.83994622,182.392621
60,283.2182582,62.78632646,48,Male,21,101,34.1017927,135.6887782
61,301.4196335,61.49848031,40,Male,48,119,18.55321683,182.063372
62,318.4410057,79.84324315,47,Female,21,164,19.24402432,203.6906697
63,141.0364555,83.15299584,40,Female,25,156,28.19329989,171.7378394
64,170.5211824,67.53030977,26,Male,39,174,34.31000845,140.293955
65,151.3656289,83.80386672,60,Female,35,121,26.38069687,178.23332
66,365.6369757,78.45646952,20,Male,30,151,31.07880384,158.8847566
67,127.9066818,78.62363525,52,Male,52,172,21.65583392,190.5412912
68,111.4136934,74.92635505,50,Male,23,147,21.91606524,184.8996166
69,455.756085,81.75920467,36,Male,40,118,22.45509707,190.8142746
70,324.9529154,62.46149413,40,Female,41,171,23.8444923,161.8497916
71,224.7566667,53.78396297,51,Male,26,139,28.62831618,137.0656081
72,251.9707701,76.38530131,19,Female,34,107,25.38978365,173.4504368
73,346.4365542,95.95126884,32,Female,49,127,27.447053,186.9723991
74,233.3392462,52.15090762,58,Male,30,153,24.9464804,144.5860173
75,222.7406397,100.4104576,25,Male,53,166,19.62559444,226.1924284
76,254.9823965,77.33768093,60,Male,27,128,29.80454185,161.0847203
77,387.9547256,81.78720798,42,Female,34,118,27.81412391,171.4786275
78,129.4225026,95.12661104,59,Female,51,176,32.99199182,169.8035418
79,211.9936538,96.4680018,52,Female,36,125,32.3516948,172.6804306
80,187.1540026,96.17884077,43,Female,28,146,19.14769677,224.1204566
81,362.8855991,61.23949091,52,Male,44,145,32.27281532,137.7518244
82,145.4125641,72.72992098,27,Male,42,110,26.67828159,165.1116174
83,305.3738804,102.2311965,56,Female,46,103,22.06029777,215.2712521
84,472.5085347,62.93349247,33,Female,45,143,31.64764776,141.0165868
85,364.7305563,64.29150459,57,Male,24,176,18.85074319,184.6768917
86,218.439501,88.75571394,25,Female,55,156,21.63796084,202.5302952
87,120.509324,61.68558378,55,Male,46,110,34.0370336,134.6219844
88,194.3341766,57.37963507,18,Female,42,121,28.68479934,141.433726
89,169.705561,55.08886643,40,Male,51,152,20.96051879,162.1178756
90,178.0728415,82.52777519,43,Female,52,108,27.19984173,174.1874576
91,299.8187299,65.07531403,28,Male,32,137,24.3270678,163.5547846
92,443.5856836,50.02107892,57,Male,40,139,33.30809063,122.5467107
93,271.0956442,83.79618992,36,Female,22,180,24.6627078,184.3281895
94,413.8854243,68.8660001,35,Male,36,109,22.10955455,176.486883
95,176.433223,59.19067336,35,Male,27,166,23.4711098,158.8034114
96,147.1726527,71.09468662,40,Female,56,115,28.76920033,157.2007729
97,408.4146909,87.5055916,34,Female,23,154,21.47705405,201.8508337
98,168.0208161,98.55154754,57,Female,52,107,30.60448801,179.4482242
99,267.576432,86.43440433,41,Male,46,163,32.0156202,164.3093819
100,366.0372045,75.32676972,37,Male,38,115,34.25747047,148.2849332
101,309.7996685,78.86926562,42,Male,57,128,30.16709554,161.6914848
102,377.2902571,50.5837702,27,Male,50,166,21.55475318,153.1912891
103,306.2712633,56.99475918,53,Female,20,152,25.57786558,149.2743921
104,234.0254065,67.57261021,56,Female,30,106,33.17709401,142.7138676
105,329.4466802,60.79754678,38,Male,46,108,24.52088084,157.4617212
